Region,Brca1,E2f6,Esrrb,Foxm1,Grhl2,Hdac2,Klf5,Max,Mga,Nanog,Nfkb2,Patz1,Pou5f1,Rad21,Rel,Rela,Rest,Sin3a,Smc3,Sox2,Sp1,Tbx3,Tlr4,Zfp281,Zfp42,Zic3,openness,GCcontent,Label
region 1,0,0,39269.56803,0,0,0,0,0,31011.10054,61194.30752,0,12608.06112,0,0,0,0,0,0,0,0,0,21783.9247,0,0,0,3305.092574,4.345128925,0.544118,1
region 2,0,0,0,0,0,0,174751.834,0,0,32948.11843,0,13989.03872,0,0,0,0,0,0,0,0,58896.36828,0,0,0,0,0,17.0978836,0.666667,1
region 3,0,0,0,0,0,0,44861.69148,0,15999.0807,40307.93245,0,13989.03872,0,0,0,0,0,0,0,232656.8538,0,11238.64562,0,0,0,0,15.95308355,0.590361,1
region 4,0,1812.427641,0,0,0,0,422462.1134,0,0,0,0,28378.42127,0,0,0,0,0,0,0,0,134437.1414,0,0,0,0,0,10.96302001,0.71875,1
region 5,0,0,0,0,0,0,40039.86295,0,32328.97875,0,0,0,0,0,0,0,0,0,0,0,87568.34939,22709.67578,0,0,0,0,24.69113275,0.688889,1
region 6,0,0,0,0,0,0,0,0,0,37736.81579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.838656688,0.37037,1
region 7,0,0,0,0,0,0,397217.5852,0,35827.4024,0,0,13989.03872,0,0,0,0,0,0,0,0,147019.9783,25167.16345,0,0,0,0,20.4834471,0.642032,1
region 8,0,0,0,0,0,0,488063.1675,0,0,0,0,26315.97292,0,0,0,0,0,0,0,67383.73067,155735.9054,0,0,0,431848.5605,0,27.11234968,0.652252,1
region 9,0,0,0,17075.90152,0,82984.89591,0,0,68385.0004,30556.36692,0,0,0,0,140.2997168,4282.058673,0,0,0,0,0,48037.43413,0,0,0,3118.946518,1.300610146,0.384146,1
region 10,0,5143.21015,0,24632.56576,0,129215.8989,219294.6448,0,0,34777.35904,0,0,0,0,0,0,0,0,0,0,59980.10367,0,0,0,0,0,14.51573069,0.655702,1
region 11,0,1589.82988,0,0,0,0,210050.824,0,16634.58047,0,0,13550.0369,0,0,0,0,0,0,0,144609.6078,66928.89602,11685.05606,0,0,0,0,2.029090673,0.757848,1
region 12,0,0,45135.39079,19579.05616,0,95485.54956,324834.3387,7589.817129,0,45012.40778,0,0,0,0,0,0,0,11566.40031,0,0,74134.6714,0,0,0,0,0,28.78453795,0.58006,1
region 13,0,1839.045431,27864.41422,0,0,0,615015.0361,0,16545.34103,95763.74277,0,13989.03872,0,0,137.5461761,4198.018423,0,0,0,0,239508.1399,11622.36931,0,0,0,3114.363786,22.61907015,0.647059,1
region 14,0,0,18402.80844,6009.523592,0,0,265363.0409,0,0,0,0,0,0,0,0,0,0,0,0,0,34546.69032,0,0,0,0,0,26.43000889,0.652928,1
region 15,15256.35575,1693.711058,23771.79336,0,0,0,157424.4378,0,0,0,0,27939.41945,0,0,0,0,0,0,0,0,83890.53313,0,0,0,0,0,12.3070003,0.732906,1
region 16,0,1589.82988,95452.7403,0,0,0,858226.5441,0,0,110257.7549,0,0,0,0,0,0,0,0,0,0,98625.01388,0,0,0,0,3649.599642,17.32230877,0.636975,1
region 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.493332974,0.783951,1
region 18,0,1557.792942,44659.50266,0,0,0,478891.9736,0,30873.48656,0,0,26754.97474,0,0,0,0,0,0,0,0,166704.815,21687.25698,0,0,0,0,9.054856969,0.752747,1
region 19,0,0,21654.50247,0,0,0,193724.914,0,19419.13265,0,0,28378.42127,0,0,0,0,0,0,0,0,44369.505,13641.08065,0,0,0,0,10.07928534,0.714903,1
region 20,0,0,0,0,0,0,138721.0311,0,0,0,0,0,0,0,0,0,0,0,0,68473.86162,39709.70242,0,0,0,0,0,23.84454187,0.563265,1
region 21,0,0,0,0,0,0,0,0,15096.14635,0,0,0,0,0,0,0,0,0,0,264495.9441,0,10604.37423,0,0,0,0,6.732802107,0.498525,1
region 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20582.62675,0,0,0,0,0,6.977792924,0.488235,1
region 23,0,0,0,6009.523592,0,0,0,0,0,69693.47044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.51109327,0.463158,1
region 24,0,0,0,0,0,0,0,0,14909.91542,34503.59477,0,0,0,0,0,0,0,0,0,0,0,10473.55524,0,0,285043.5803,0,7.465283829,0.640719,1
region 25,0,0,0,0,0,0,207195.603,0,58559.50462,0,0,0,0,0,0,0,0,0,0,0,66326.93804,41135.45849,0,0,0,3017.145802,30.00837443,0.670659,1
region 26,0,0,49047.00724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130.05472,0,0,9526.310874,0,0,27.87185061,0.611801,1
region 27,0,3192.520838,22583.12462,0,0,0,267411.7069,0,37804.38362,60411.03373,0,14389.38255,0,0,0,0,0,0,0,0,114303.7565,26555.9052,0,0,408277.3122,3262.78811,8.822743221,0.76771,1
region 28,0,0,25972.0703,0,0,0,0,7372.933104,32132.88007,122045.0309,0,0,1343350.564,0,0,0,0,11235.8828,0,67383.73067,0,22571.92514,0,0,0,0,10.6841374,0.407643,1
region 29,0,0,0,0,0,0,0,0,19196.10566,30840.15129,0,0,0,0,0,0,0,0,0,0,0,13484.41407,0,0,0,0,11.97205933,0.403614,1
region 30,0,0,20746.70986,0,0,0,0,0,39972.39741,81808.78173,0,0,0,0,0,0,0,0,0,0,0,28078.83887,0,0,0,0,31.08404404,0.506993,1
region 31,0,1524.05337,0,0,0,0,41693.14034,0,0,107581.8094,0,14389.38255,0,0,129.8682791,3963.682917,0,0,0,0,0,0,0,0,0,0,40.03670739,0.471429,1
region 32,0,0,21457.24495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.96963947,0.481481,1
region 33,0,0,0,0,0,0,0,0,32903.10126,32768.65772,0,0,0,0,119.4646169,3646.154891,0,0,0,0,0,23112.97141,0,0,0,0,7.500670108,0.448454,1
region 34,11552.91225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20402.51489,0,0,0,0,0,8.465454948,0.551471,1
region 35,0,0,0,0,0,0,97466.09255,0,15901.22695,0,0,14389.38255,0,0,0,0,0,0,0,0,55111.20644,11169.9077,0,0,0,0,17.64448731,0.636042,1
region 36,0,0,0,0,0,0,166877.1775,0,0,104010.6764,0,13550.0369,0,0,0,0,0,0,0,0,98259.97414,0,0,0,0,3095.21666,51.4587525,0.685185,1
region 37,12702.94159,0,0,0,0,0,176972.8373,0,17220.43574,0,0,25216.12223,0,0,0,0,0,0,0,0,37822.34945,12096.59344,0,0,0,0,12.71436489,0.705765,1
region 38,0,0,0,0,0,0,666302.144,0,56269.25697,30807.67472,0,42367.46,0,252651.7013,0,0,0,0,35377.4409,0,231859.0545,39526.66095,0,0,0,0,11.46777666,0.741379,1
region 39,15291.84588,0,23382.42718,0,0,0,41614.2639,0,18127.84115,0,0,13550.0369,0,0,0,0,0,0,0,0,23773.68771,12734.00556,0,0,0,0,16.2351462,0.685637,1
region 40,0,0,0,0,0,0,0,0,0,33053.80722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.881744213,0.695906,1
region 41,0,1760.14609,0,0,0,0,236233.7396,0,0,141877.9036,0,0,706708.9213,0,134.8134085,4114.61219,0,0,0,232656.8538,44437.61137,0,0,0,0,0,25.21136784,0.552529,1
region 42,0,0,0,0,0,0,171065.9395,0,0,40125.64591,0,13989.03872,0,0,0,0,0,0,0,0,92933.07891,0,0,0,0,0,50.79466878,0.618852,1
region 43,0,0,0,0,0,0,42692.16757,0,0,33585.99164,0,12765.93602,0,0,0,0,0,0,0,77462.35473,20477.95801,0,0,0,0,0,22.0895892,0.630841,1
region 44,0,0,0,0,0,0,0,0,0,120054.561,0,0,1576198.892,0,0,0,0,0,0,639517.5001,49124.88487,0,0,0,0,0,28.84445841,0.477193,1
region 45,0,0,0,0,0,0,267659.365,0,15097.51549,41831.17793,0,13989.03872,0,0,0,0,0,0,0,0,131676.2779,10605.33599,0,0,0,0,28.49315126,0.612245,1
region 46,0,0,0,0,0,0,223029.7286,0,0,0,11546.58413,28378.42127,0,0,122.1355936,3727.675221,0,0,0,0,84533.41274,0,0,0,0,0,20.4741545,0.735294,1
region 47,0,1827.445693,20148.29877,0,0,0,390649.0726,0,15665.90248,0,0,40586.13856,0,247530.5635,138.506415,4227.325677,0,0,34660.35589,0,172070.9495,11004.60268,0,0,0,0,13.40505504,0.729783,1
region 48,0,0,0,0,0,0,43942.45072,0,0,0,0,0,0,0,0,0,0,0,0,0,21077.67565,0,0,0,0,0,10.81450363,0.713896,1
region 49,0,0,0,0,0,0,241089.2871,0,30192.2927,119853.6335,0,0,0,281783.2846,0,0,0,0,39456.57776,0,86339.21441,21208.74846,0,0,0,3053.339097,20.75778441,0.637383,1
region 50,0,0,0,22015.88081,0,118054.3098,275391.5762,0,0,0,0,13989.03872,0,0,0,0,0,0,0,304750.4747,109633.235,0,0,6605.608932,0,0,16.74385987,0.655647,1
region 51,0,0,0,0,0,0,243951.9871,0,0,145015.7699,0,0,2206634.228,0,0,0,0,0,0,0,111616.5642,0,0,0,0,0,14.47200096,0.737903,1
region 52,0,1693.711058,87451.98512,0,0,0,578110.9274,8289.753793,0,0,0,14389.38255,0,0,0,0,0,12633.05943,0,0,141699.1854,0,0,0,0,0,8.445931856,0.688976,1
region 53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45855733,0.757282,1
region 54,0,1609.746267,0,0,0,0,43968.2989,0,0,0,0,0,0,0,0,0,0,0,0,0,21090.07413,0,0,0,0,0,6.336534746,0.753695,1
region 55,0,0,0,12517.03048,0,153504.0243,0,0,16768.39556,32787.81057,0,0,648387.0474,0,0,0,0,0,0,0,0,11779.05524,0,0,0,0,3.826501647,0.386179,1
region 56,13120.16329,0,23339.27215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.36010778,0.627329,1
region 57,0,3425.286982,0,0,0,0,563365.5293,0,33345.38389,95263.16124,0,41967.11617,0,0,141.2788618,4311.942954,0,0,0,0,91654.01469,23423.65537,0,0,0,3052.265946,16.41932916,0.634675,1
region 58,0,3167.25944,0,0,0,0,145361.5678,0,0,0,0,26158.09802,0,0,0,0,0,0,0,0,69724.92269,0,0,0,0,0,10.83908341,0.806202,1
region 59,0,0,0,0,0,0,44181.85228,0,34094.02662,0,0,0,0,0,0,0,0,0,0,0,51912.05424,23949.54373,0,0,0,0,13.34314058,0.652985,1
region 60,0,4706.677104,26210.19305,0,0,0,87221.80419,0,19319.98965,0,0,25373.99713,0,0,0,0,0,0,0,0,67201.11915,13571.43708,0,0,0,2786.571099,16.4881065,0.740741,1
region 61,0,3310.865708,0,0,0,0,487787.2808,0,15196.65849,64446.72918,0,41967.11617,0,0,0,0,0,0,0,0,126100.5921,10674.97956,0,0,0,3480.755232,15.70616006,0.719653,1
region 62,0,0,52322.15584,0,0,0,49011.87099,0,0,34914.0091,0,0,0,0,0,0,0,0,0,0,23509.30144,0,0,0,0,0,25.08486011,0.54386,1
region 63,0,1735.164253,0,0,0,0,0,0,0,0,0,0,0,0,162.5665391,4961.659756,0,0,0,0,0,0,0,0,0,0,54.82938194,0.586667,1
region 64,0,0,0,0,0,0,0,0,15096.14635,0,0,0,0,0,0,0,0,0,0,155619.4919,0,10604.37423,0,0,0,0,60.93439951,0.598765,1
region 65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67383.73067,0,0,0,0,0,0,25.58953116,0.5,1
region 66,0,0,22699.54989,0,0,0,217889.7486,0,49557.57975,114986.9869,0,13989.03872,0,0,0,0,0,0,0,0,108535.7395,34812.00496,0,0,0,6210.424663,34.91807599,0.618834,1
region 67,0,0,0,0,0,0,291989.3593,0,60415.79468,88335.99278,0,26306.45006,0,0,0,0,0,0,0,0,80532.18084,42439.42005,0,0,0,0,28.77346575,0.614925,1
region 68,0,0,0,0,0,0,93660.37672,0,17220.43574,97453.94432,0,0,747809.1926,0,0,0,0,0,0,0,52895.39633,12096.59344,0,0,0,3096.290179,24.6114442,0.64986,1
region 69,0,0,18712.24057,5811.133718,0,0,47557.88799,7102.446827,134903.2314,191080.6153,0,0,647634.6095,0,0,0,0,10823.67885,0,0,0,94763.54544,0,0,0,9596.56571,4.013826967,0.422449,1
region 70,0,1544.349132,0,0,0,0,95143.16698,0,34977.45964,0,0,0,0,0,0,0,0,0,0,0,36256.78462,24570.11631,0,0,0,0,10.74957332,0.565957,1
region 71,0,0,42229.70866,0,0,0,54080.53191,0,0,0,0,0,0,0,0,0,0,0,0,142163.5372,0,0,0,0,0,0,30.98626404,0.567823,1
region 72,0,1839.045431,0,0,0,0,249357.6206,0,14909.91542,73122.11062,0,0,0,0,154.2661596,4708.325588,0,0,0,0,135471.0891,10473.55524,0,0,0,0,27.52594318,0.700637,1
region 73,0,0,18950.36017,0,0,0,491030.0558,0,74071.88407,57158.60525,0,0,0,0,0,0,0,0,0,0,126751.1958,52032.21804,0,0,0,3087.125084,31.79213269,0.679715,1
region 74,0,1609.746267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4984069,0.644737,1
region 75,0,1498.809781,0,0,0,0,213179.3704,0,0,54075.86993,0,13989.03872,0,221887.5398,0,0,0,0,31069.70302,278850.3621,76842.12798,0,0,0,0,2920.627153,3.747214898,0.772321,1
region 76,0,0,0,0,0,0,0,0,0,60170.03953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.06647861,0.576733,1
region 77,0,0,0,5352.480411,0,41326.31482,87239.36577,0,0,0,0,0,0,0,0,0,0,0,0,0,21670.58843,0,0,0,0,3467.266937,13.83858915,0.440514,1
region 78,0,1576.386277,0,0,0,0,0,0,0,96832.28892,0,0,0,0,0,0,0,0,0,0,15897.08193,0,0,0,0,6723.33007,19.16691715,0.696,1
region 79,0,1557.159269,0,0,0,0,120747.4906,0,0,0,0,26997.44367,0,0,0,0,0,0,0,0,37919.64096,0,0,0,0,0,2.920507711,0.843077,1
region 80,0,0,42812.74271,0,0,0,802456.8885,0,19419.13265,0,0,27978.07745,0,0,0,0,0,0,0,0,228585.468,13641.08065,0,0,0,0,10.71521752,0.720974,1
region 81,0,0,0,0,0,0,0,0,17546.23105,48513.03154,0,0,0,0,0,0,0,0,0,0,0,12325.45022,0,0,0,0,10.99761278,0.48,1
region 82,0,0,0,0,0,0,156056.0148,0,0,0,0,0,0,0,0,0,0,0,0,0,64602.86113,0,0,0,0,0,16.44144551,0.647754,1
region 83,0,0,0,0,0,43635.03066,0,0,0,38240.91937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.604109461,0.358025,1
region 84,0,0,28610.84278,0,0,0,44073.39115,8699.793927,0,0,0,0,0,0,0,0,0,13257.93461,0,151580.0543,21140.48325,0,0,0,0,0,22.49853801,0.617544,1
region 85,0,0,0,0,0,0,102199.39,0,0,0,0,0,0,0,0,0,0,0,0,0,23981.63472,0,0,0,0,0,39.11111058,0.709677,1
region 86,0,0,0,0,0,0,267611.5799,0,15097.51549,32317.42584,0,12317.41134,0,0,0,0,0,0,0,0,18732.9433,10605.33599,0,0,0,3007.526526,29.82057257,0.618794,1
region 87,0,0,0,0,0,0,740416.3089,0,0,89086.77635,0,40295.48878,0,0,0,0,0,0,0,0,158874.9818,0,0,0,0,2877.67644,22.42878312,0.707101,1
region 88,0,0,0,19288.26941,0,100043.0966,48117.64071,0,0,104520.9846,0,0,1001309.514,0,0,0,0,0,0,0,30762.5547,0,0,0,0,0,16.05008934,0.522727,1
region 89,0,0,28936.65769,19288.26941,0,100043.0966,0,0,0,252811.7487,0,0,1859733.165,0,0,0,0,0,0,91281.4877,31374.08688,0,0,0,0,3635.16354,24.68267066,0.559118,1
region 90,0,0,0,0,0,0,0,0,0,41633.73839,0,0,0,0,0,0,0,0,0,0,31374.08688,0,0,0,0,0,24.37621832,0.5925,1
region 91,0,0,0,0,0,0,0,0,32279.88521,37177.2331,0,0,0,0,0,0,0,0,0,0,0,22675.18974,0,0,0,0,0,0.464286,1
region 92,0,0,0,0,0,0,0,0,0,67473.36425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.693451395,0.469136,1
region 93,0,3683.510217,0,0,0,0,94665.3462,8213.652055,0,0,0,13989.03872,0,0,168.5867752,5145.402136,0,12517.0852,0,0,23889.09274,0,0,0,388043.176,0,25.50171732,0.697842,1
region 94,0,0,0,0,0,0,0,0,0,0,0,0,1575044.438,0,0,0,0,0,0,0,0,0,0,0,0,0,1.072198254,0.344828,1
region 95,0,0,0,0,0,0,0,7320.938493,15075.85439,44540.93776,0,0,759875.7545,0,0,0,0,11156.64631,0,0,25306.53199,10590.12002,0,0,0,0,1.613390329,0.38674,1
region 96,0,1539.138103,50279.39712,0,0,0,377921.1347,0,0,104083.2675,0,26754.97474,0,0,0,0,0,0,0,0,163218.3557,0,0,0,336472.0922,0,28.39673358,0.625225,1
region 97,0,0,0,0,0,0,0,0,0,81942.0599,0,0,0,0,0,0,0,0,0,0,44603.66835,0,0,0,0,0,23.2825292,0.644309,1
region 98,0,0,19178.69754,18165.55928,0,89207.30201,426575.1509,0,16634.58047,147848.0302,9821.06951,13989.03872,0,0,0,0,0,0,0,0,161557.6414,11685.05606,0,0,0,0,13.66223183,0.636691,1
region 99,0,0,0,0,0,0,403276.5468,0,0,76873.15484,0,27978.07745,0,0,0,0,0,0,0,251515.42,175085.0524,0,0,0,381870.7479,0,23.22464197,0.622605,1
region 100,0,0,78514.55556,18566.20341,0,93955.63908,84216.89393,0,30764.99924,56715.40036,0,0,789506.2644,0,0,0,0,0,0,67048.43867,72778.10004,21611.04943,0,0,320840.5198,0,17.20710886,0.574074,1
region 101,0,0,20612.80752,0,0,0,883144.11,0,14972.25961,0,0,81633.01749,0,0,0,0,0,0,0,0,125741.0795,10517.34928,0,0,0,0,2.979050682,0.638444,1
region 102,0,0,0,0,0,0,81250.17439,0,0,0,0,0,0,0,0,0,0,0,0,0,59713.08681,0,0,0,0,0,10.9940681,0.695067,1
region 103,0,0,41201.34132,0,0,0,0,0,0,0,0,12765.93602,0,231224.8316,0,0,0,0,32377.15311,149501.9612,0,0,0,0,0,0,21.57788374,0.584646,1
region 104,0,0,0,0,0,0,96207.73373,0,34392.76415,50441.61305,0,0,0,0,0,0,0,0,0,0,0,24159.39362,0,0,0,2724.34165,16.12511705,0.483412,1
region 105,0,1683.236607,0,0,0,0,0,0,0,89121.5327,0,0,715117.812,0,152.1798846,4644.650817,0,0,0,0,0,0,0,0,0,0,6.391921668,0.722892,1
region 106,0,0,0,0,0,0,83054.46689,8972.8097,0,0,0,0,0,0,0,0,0,13673.99334,0,0,39838.35871,0,0,0,0,0,0.925376992,0.736264,1
region 107,0,0,50054.33315,0,0,0,1016663.051,0,0,33920.98224,0,42367.46,0,0,0,0,0,0,0,0,224173.8577,0,0,0,0,0,3.351975112,0.78607,1
region 108,0,0,24793.1237,0,0,0,313092.7539,0,63906.12744,30822.17928,0,0,0,254744.2503,0,0,0,0,35670.44914,0,83626.45328,44891.22424,0,0,0,0,20.23982117,0.710588,1
region 109,0,0,18294.78646,0,0,76215.72677,252389.94,0,0,134858.6636,0,12317.41134,0,0,0,0,41081.59106,0,0,0,29387.72239,0,0,0,0,7283.690032,17.75986335,0.669231,1
region 110,15663.21932,0,0,0,0,0,188335.7512,0,14968.97863,0,0,13989.03872,0,0,0,0,0,0,0,0,70236.19744,10515.04453,0,0,475375.1626,0,17.63591042,0.655977,1
region 111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.07421148,0.569507,1
region 112,0,0,0,0,0,0,247683.4007,0,38611.95457,36717.61246,0,13989.03872,0,0,0,0,0,0,0,0,68301.30876,27123.18803,0,0,0,0,11.0959376,0.589342,1
region 113,0,0,0,0,0,0,44778.31316,0,0,64109.4315,0,0,0,0,0,0,0,0,0,0,52427.60443,0,0,0,0,0,14.63403177,0.526119,1
region 114,0,1766.567725,0,0,0,0,0,0,17546.23105,0,0,0,0,0,0,0,0,0,0,67048.43867,0,12325.45022,0,0,0,0,8.079883708,0.607843,1
region 115,0,0,0,0,0,0,0,0,0,33694.28102,0,0,0,0,0,0,0,0,0,68473.86162,0,0,0,0,0,0,24.30684701,0.591133,1
region 116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.743163953,0.438272,1
region 117,0,0,0,0,0,0,0,0,0,40028.07285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.577489402,0.563953,1
region 118,0,1641.477964,0,0,0,0,96990.21837,0,16113.65341,0,0,28378.42127,0,0,0,0,0,0,0,0,23600.76517,11319.12788,0,0,0,0,8.083500153,0.718391,1
region 119,0,0,0,0,0,0,41803.45164,0,15097.51549,104302.6516,0,0,0,0,0,0,0,0,0,0,42986.03221,10605.33599,0,0,0,3262.78811,11.14709176,0.60596,1
region 120,0,0,31337.30741,0,0,0,0,0,16080.15212,0,0,0,0,0,0,0,0,0,0,68473.86162,24523.25092,11295.5947,0,0,0,0,10.92445426,0.50519,1
region 121,0,0,0,0,0,0,297247.4369,9436.755455,56261.2074,0,0,12317.41134,0,0,0,0,0,14381.01727,0,0,22387.26922,39521.00649,0,0,0,0,12.97453143,0.643979,1
region 122,0,0,0,0,0,0,39603.81269,0,0,97166.92459,0,12765.93602,889785.271,0,0,0,0,0,0,0,18996.58086,0,0,0,0,0,8.661315632,0.729032,1
region 123,0,0,0,0,0,0,184898.6477,0,0,0,0,28378.42127,0,395623.2254,0,0,0,0,55396.9643,249460.5352,74780.55741,0,0,0,0,0,5.2578619,0.762097,1
region 124,0,0,92298.13796,21308.87496,0,110482.6845,0,0,0,31731.91922,0,0,0,0,0,0,0,0,0,0,0,0,0,9526.310874,0,0,1.033961674,0.622642,1
region 125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21273.49592,0,0,0,0,0,12.558609,0.578652,1
region 126,0,0,0,0,0,0,0,0,0,35504.75783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.068140982,0.593939,1
region 127,0,1522.812323,22886.08903,0,0,0,214285.551,7277.667867,32456.44399,76470.27605,0,0,0,0,0,0,0,11090.70461,0,0,51848.48348,22799.21446,0,0,0,0,8.45078737,0.687204,1
region 128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.899717482,0.678363,1
region 129,0,0,0,16962.3704,0,84323.96042,0,0,0,183881.6415,0,0,0,0,0,0,0,0,0,72501.88204,0,0,0,0,0,6325.494324,0.911809574,0.649402,1
region 130,0,1582.774779,0,0,0,0,359184.8769,0,48239.76766,81465.92795,0,13989.03872,633228.2593,0,0,0,0,0,0,0,80364.83169,33886.30033,0,0,0,0,10.91978577,0.671128,1
region 131,0,0,0,0,0,0,48588.67552,0,16634.58047,91496.58177,0,0,0,0,0,0,0,0,0,68473.86162,54223.43586,11685.05606,0,0,0,0,9.3887816,0.538462,1
region 132,0,1641.477964,20511.79092,0,0,0,105402.0639,0,0,39737.76314,0,30691.74476,0,256385.4834,0,0,0,0,35900.26206,0,25900.76296,0,0,0,337932.704,0,7.723252467,0.674956,1
region 133,0,0,0,0,0,0,578118.9971,0,0,0,0,27978.07745,0,0,0,0,0,0,0,0,189124.8019,0,0,0,364750.741,0,8.857324013,0.740214,1
region 134,0,1524.05337,0,0,0,0,533476.6023,0,47398.77254,30821.70831,0,13989.03872,0,0,0,0,0,0,0,0,82830.69856,33295.5385,0,0,0,0,20.32379714,0.566406,1
region 135,0,0,23437.28102,0,1507.238998,0,0,0,60955.325,76443.16446,0,0,0,348574.9573,0,0,0,0,48809.0517,0,19280.65323,42818.4162,0,0,0,0,6.445871312,0.557751,1
region 136,0,0,0,0,0,0,131411.6658,0,22235.47262,51216.98271,0,26754.97474,0,0,124.8920754,3811.80523,0,0,0,0,48089.74321,15619.43475,0,0,0,2766.219214,6.976560331,0.678879,1
region 137,0,3333.310989,61179.0884,26443.95086,0,203737.6378,139144.4918,0,47040.26932,210763.9237,0,26597.09984,0,0,153.9807333,4699.614148,0,0,0,144889.8547,45224.20237,33043.70587,0,9526.310874,0,2925.337808,12.28953046,0.583815,1
region 138,0,0,0,0,0,0,0,0,14968.97863,0,0,0,0,0,0,0,0,0,0,0,0,10515.04453,0,0,0,0,32.85630949,0.531835,1
region 139,0,0,0,0,0,0,472101.9163,8358.293747,0,84325.3817,0,42367.46,0,249719.9167,0,0,0,12737.50997,34966.91908,0,186803.5686,0,0,6605.608932,0,2749.674782,7.602819824,0.693735,1
region 140,0,0,24927.02604,0,0,0,55859.80187,0,59543.8878,0,0,12317.41134,0,0,0,0,0,0,0,0,0,41826.94408,0,0,0,2618.862141,5.551855834,0.527027,1
region 141,0,0,0,0,0,0,404146.7007,0,0,0,0,25413.6845,694516.7473,0,0,0,0,0,0,0,117379.3112,0,0,0,0,0,10.31897334,0.628571,1
region 142,0,0,0,0,0,0,357680.3124,0,0,46532.37693,0,0,0,0,0,0,0,0,0,0,49849.08454,0,0,0,0,0,7.159256822,0.652174,1
region 143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.501148915,0.59893,1
region 144,0,3179.65976,0,0,0,0,0,0,0,38770.98101,0,28910.42332,0,0,0,0,0,0,0,0,33191.86787,0,0,0,0,0,2.935162831,0.716146,1
region 145,0,0,0,0,0,0,50443.19389,0,16746.02096,0,0,14389.38255,0,0,0,0,0,0,0,0,24195.85759,11763.33807,0,0,0,0,8.558952757,0.681159,1
region 146,0,0,28610.84278,0,0,0,87568.55195,0,16327.53442,0,0,0,0,700998.7076,0,0,0,0,98157.02892,0,50383.07779,11469.36981,0,0,0,0,11.6739629,0.706767,1
region 147,0,0,0,0,0,0,247295.925,0,17501.12924,61864.8416,0,0,0,0,0,0,0,0,0,0,127104.9616,12293.7682,0,0,0,3341.307989,15.91716684,0.592593,1
region 148,0,0,18345.87037,0,0,0,40697.50611,0,18127.84115,68983.39522,0,0,0,0,0,0,0,0,0,316844.2659,19521.18781,12734.00556,0,0,0,0,2.936506605,0.526667,1
region 149,0,0,0,0,0,0,268904.1398,0,0,56513.18284,0,12608.06112,0,0,0,0,0,0,0,0,64314.17222,0,0,0,431569.7782,3052.265946,16.78434514,0.687831,1
region 150,0,0,22866.42337,0,0,0,44385.05794,0,0,0,0,0,0,0,0,0,0,0,0,0,21289.97905,0,0,0,0,0,2.353732179,0.62963,1
region 151,0,0,20122.4026,0,0,60673.51817,46150.91867,7770.129207,0,202274.0642,0,0,0,0,0,0,0,11841.18449,0,0,22137.00144,0,0,5891.610127,0,3404.867171,12.88499678,0.576923,1
region 152,0,0,40881.99097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.035614932,0.535545,1
region 153,0,1589.82988,0,0,0,0,201567.5389,0,15901.22695,82742.09756,0,26754.97474,1151810.689,0,0,0,0,0,0,0,93125.88123,11169.9077,0,0,0,0,7.14040454,0.752161,1
region 154,0,0,0,5339.60423,1017.678058,41226.89828,284608.8738,0,14909.91542,87295.45238,0,13989.03872,0,0,0,0,0,0,0,0,86820.42812,10473.55524,0,6828.141091,0,2898.931157,2.346102211,0.621469,1
region 155,0,0,0,0,0,0,0,0,0,93715.60269,0,0,0,0,0,0,0,0,0,0,36705.74898,0,0,0,0,3165.604042,11.79773213,0.719665,1
