Region,Brca1,E2f6,Esrrb,Foxm1,Grhl2,Hdac2,Klf5,Max,Mga,Nanog,Nfkb2,Patz1,Pou5f1,Rad21,Rel,Rela,Rest,Sin3a,Smc3,Sox2,Sp1,Tbx3,Tlr4,Zfp281,Zfp42,Zic3,openness,GCcontent,Label
region 6649,0,0,18470.00314,0,0,51725.96097,0,0,15586.24428,33247.8271,0,0,0,0,0,0,0,0,0,154245.7191,0,10948.64632,0,0,0,0,5.727338013,0.560411,0
region 6650,0,0,46622.20398,5352.480411,0,41326.31482,0,0,0,119610.9534,0,0,3457316.344,317972.5724,0,0,0,0,44523.96651,142067.3498,20582.62675,0,0,6828.141091,0,0,7.010118118,0.371622,0
region 6651,0,0,0,5878.961516,0,45391.25709,0,7728.398925,0,39105.64397,0,0,0,0,0,0,0,11777.59018,0,0,16009.5933,0,0,0,0,0,7.016396972,0.417266,0
region 6652,0,1480.416694,23362.91965,0,0,0,0,0,65063.53773,32016.42029,0,0,0,259621.8384,0,0,0,0,36353.43122,0,0,45704.25371,0,0,0,0,7.553391895,0.429501,0
region 6653,0,0,0,36495.64843,0,229383.5658,0,0,49520.32916,36708.60256,0,0,0,281494.9815,0,0,0,0,39416.20824,0,0,34785.83806,0,9748.843033,0,0,7.435604497,0.430921,0
region 6654,0,0,0,0,0,50206.06233,56051.03264,0,0,36819.59491,0,14389.38255,0,0,0,0,0,0,0,245819.9622,57432.45712,0,0,0,0,0,8.493361007,0.472973,0
region 6655,0,0,18666.98235,20402.88719,0,162060.2752,220623.1354,7230.393629,30910.5884,332784.0273,0,12317.41134,1325150.668,0,0,0,0,11018.66167,0,0,44366.57088,21713.31937,0,0,0,7100.545183,12.56826345,0.453427,0
region 6656,0,0,21184.76263,20172.03939,0,99796.24143,0,0,15295.65824,0,0,0,0,330124.6256,0,0,0,0,46225.5523,167599.8788,0,10744.5225,0,0,0,0,10.22892554,0.441718,0
region 6657,0,0,25592.888,0,0,0,0,0,16327.53442,32623.69398,0,0,778197.2714,330776.338,0,0,0,0,46316.80804,0,0,11469.36981,0,0,0,0,8.96179403,0.491979,0
region 6658,0,0,0,0,0,0,42612.06772,0,0,88428.02339,0,0,745461.8029,0,0,0,0,0,0,0,20439.53688,0,0,0,0,0,17.79203427,0.643411,0
region 6659,0,0,0,0,0,0,0,0,21085.57471,0,0,0,0,0,0,0,0,0,0,0,0,14811.68239,0,0,0,0,19.98351648,0.497143,0
region 6660,0,0,77296.42944,0,2077.304483,0,42727.00144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.19941579,0.524272,0
region 6661,0,0,18272.41669,0,0,0,0,7668.500705,0,0,0,0,0,286070.9325,0,0,0,11686.30909,40056.95373,231988.7654,0,0,0,0,0,0,10.51038333,0.515504,0
region 6662,0,1610.784165,20007.88127,41266.89722,0,213674.3049,339227.7519,0,121923.672,0,0,44922.13575,0,0,0,0,0,0,0,0,93498.24905,85645.97979,0,0,0,2726.474311,11.46877024,0.551343,0
region 6663,0,0,0,0,1101.346985,48118.96705,0,0,15516.44831,0,0,0,638417.8862,0,123.0806766,3756.519904,0,0,0,274370.574,40805.02977,10899.61774,0,0,0,0,6.482638467,0.535948,0
region 6664,0,0,22592.8436,5577.142295,0,43060.9214,129078.5312,0,0,136539.0021,0,0,0,0,0,0,0,0,0,315859.6885,63540.59254,0,0,6605.608932,0,0,10.36247617,0.457386,0
region 6665,0,1544.297983,56536.44574,0,0,0,105859.0024,0,15901.22695,102404.8539,0,0,728004.6537,236120.0931,0,0,0,0,33062.6099,0,26101.64207,11169.9077,0,6461.805555,0,2706.297167,18.77014237,0.612583,0
region 6666,0,1576.334921,0,0,0,0,203951.3153,0,0,94271.07632,0,26997.44367,0,0,0,0,0,0,0,0,74815.13382,0,0,0,0,0,16.69820966,0.471698,0
region 6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.88285428,0.611111,0
region 6668,0,0,61814.63905,0,0,0,0,0,0,46919.28363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.97185603,0.375427,0
region 6669,0,0,23238.25555,0,0,0,0,0,41154.19607,100698.2298,0,0,0,0,0,0,0,0,0,274370.574,0,28909.00009,0,0,0,2769.856349,6.502795464,0.44697,0
region 6670,0,0,0,0,0,0,46635.83279,0,16634.58047,124154.7386,0,0,948939.777,0,0,0,0,0,0,100906.6264,22369.59799,11685.05606,5.075837057,0,0,0,9.170766826,0.465066,0
region 6671,0,0,0,0,0,0,95245.26399,0,38343.34093,0,0,14389.38255,0,302185.3594,0,0,0,0,42313.36911,0,20972.76409,26934.49884,0,0,0,0,34.14170716,0.5,0
region 6672,0,0,0,0,0,0,95986.00825,0,17220.43574,0,0,0,0,0,151.3418734,4619.074051,0,0,0,67048.43867,21233.34901,12096.59344,0,0,0,3520.253505,51.63953159,0.432692,0
region 6673,0,0,0,0,0,0,0,0,0,34451.92439,0,0,0,234455.6834,0,0,0,0,32829.55167,67048.43867,0,0,0,0,0,0,13.43269298,0.497797,0
region 6674,0,0,0,0,0,0,0,0,0,65535.46568,0,0,0,0,0,0,0,0,0,246999.8142,0,0,0,0,0,0,14.79435515,0.473054,0
region 6675,0,1576.334921,20329.51193,23300.63438,0,166537.299,40907.64841,0,33158.35681,0,0,0,821795.8191,291826.3517,0,0,0,0,40862.85371,74007.23554,19621.98582,23292.27713,0,0,0,0,3.542692817,0.410714,0
region 6676,0,0,0,0,0,0,548807.758,0,31672.73247,38642.59001,0,13989.03872,881971.0904,0,0,0,0,0,0,239496.6187,77205.27427,22248.69183,0,0,0,0,23.56585817,0.489247,0
region 6677,0,0,27355.50435,0,0,0,0,0,0,173168.7612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2801.320189,13.2750516,0.430108,0
region 6678,0,0,18494.07761,23300.63438,0,121403.0828,0,7234.797815,0,0,0,0,679532.9801,0,0,0,0,11025.37337,0,2559225.391,0,0,0,0,0,0,4.684245023,0.343284,0
region 6679,0,1635.05633,0,0,0,0,0,0,44518.78535,37949.38786,0,0,0,0,0,0,0,0,0,0,23954.72461,31272.47505,0,0,0,6820.465107,11.83870409,0.454874,0
region 6680,0,0,0,0,0,0,0,0,57690.52059,44928.82053,0,0,0,0,0,0,0,0,0,0,61843.2176,40525.0357,0,0,0,0,20.98257965,0.601942,0
region 6681,0,0,51705.56873,0,0,0,0,0,20550.01133,30723.68476,0,0,1033444.667,0,0,0,0,0,0,343715.3764,0,14435.47283,0,0,0,0,50.73242556,0.45641,0
region 6682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5519937,0.463855,0
region 6683,0,0,22699.54989,5162.622907,0,39860.43165,53436.31004,0,0,62169.04156,0,0,0,0,0,0,0,0,0,0,0,0,0,4571.979188,0,0,7.193105018,0.516129,0
region 6684,0,0,0,0,0,0,95051.86967,0,0,33783.43801,0,27195.00593,0,0,0,0,0,0,0,226293.3278,45593.09839,0,0,0,0,0,8.95526891,0.469453,0
region 6685,0,0,52670.65363,0,1063.23066,0,147353.8849,0,16634.58047,0,0,14389.38255,0,0,0,0,0,0,0,0,91140.23942,11685.05606,0,0,0,0,6.827494905,0.588235,0
region 6686,0,0,54621.23866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.56129556,0.52,0
region 6687,0,0,27355.50435,42816.55084,0,228310.0758,0,0,38452.53349,204802.0084,0,0,6801836.265,301075.2761,0,0,0,0,42157.93019,103484.7628,0,27011.20178,0,0,0,2707.370318,5.245246263,0.358382,0
region 6688,0,0,0,0,0,0,52929.0914,0,0,164902.4699,0,0,708884.5207,0,0,0,0,0,0,0,25388.25675,0,0,0,0,3825.262668,12.82679378,0.475771,0
region 6689,0,0,0,0,0,0,0,0,32580.26737,36166.63695,0,0,831924.1335,224200.6801,0,0,0,0,31393.59944,229504.8058,0,22886.1949,0,0,0,0,11.96501601,0.469314,0
region 6690,0,0,48736.45551,0,0,0,0,0,0,52095.59756,0,0,725196.3376,598946.7318,0,0,0,0,83867.24689,228323.8323,0,0,0,0,0,0,25.68598352,0.491803,0
region 6691,0,0,0,0,0,0,0,0,15665.90248,144606.6661,0,0,0,0,0,0,0,0,0,66654.48445,0,11004.60268,0,0,0,0,12.61063763,0.427746,0
region 6692,0,0,0,18872.56513,0,96778.9273,0,0,0,46919.28363,0,0,1279268.297,0,147.1575595,4491.36547,0,0,0,0,0,0,0,0,381459.2753,0,12.38879483,0.423948,0
region 6693,0,0,21231.8647,0,0,0,215950.9901,0,47426.789,188142.6116,0,13989.03872,0,0,0,0,0,0,0,0,48731.49543,33315.21882,0,0,0,2785.365971,9.652187869,0.528302,0
region 6694,0,0,0,0,1063.208566,0,0,0,0,134818.0508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2802.393339,6.673902087,0.515284,0
