"","probability"
"region 2496",0.144788223378401
"region 2525",0.861584721397639
"region 2528",0.863924547591094
"region 2553",0.827145464006286
"region 2572",0.873768832510886
"region 2605",0.883299400515138
"region 2616",0.559243211751099
"region 2622",0.892106794946951
"region 2627",0.338406414587774
"region 2648",0.853063833734762
"region 2651",0.938722236735863
"region 2721",0.871087405624113
"region 2744",0.552717001929706
"region 2760",0.843329375834651
"region 2768",0.947032927435577
"region 2778",0.866954937183911
"region 2784",0.966424610472298
"region 2785",0.987852322066258
"region 2787",0.978652861238078
"region 2807",0.785793279513754
"region 2810",0.598580964106912
"region 2817",0.982885671874898
"region 2818",0.90729460500997
"region 2836",0.90390064341459
"region 2854",0.901610060049665
"region 2860",0.93272644142223
"region 2865",0.393006453415952
"region 2872",0.918034283793261
"region 2885",0.741765979237281
"region 2890",0.553768150338746
"region 2893",0.663467490878729
"region 2896",0.8434519507627
"region 2900",0.247639819828475
"region 2903",0.824872493953323
"region 2912",0.558398671434725
"region 2913",0.872635760825659
"region 2919",0.821436249583366
"region 2920",0.867630873607092
"region 2932",0.510361349577284
"region 2939",0.279543470068804
"region 2940",0.894417464725649
"region 2946",0.959200915486121
"region 2956",0.630618552711609
"region 2961",0.417328963071937
"region 2965",0.961703455229709
"region 2966",0.830868259083507
"region 2970",0.827041413420931
"region 3003",0.622846622463951
"region 3013",0.816810014267733
"region 3027",0.169882906618894
"region 3032",0.769290349505197
"region 3037",0.965668331653676
"region 3060",0.906636347444488
"region 3071",0.9658011473728
"region 3083",0.918500087397321
"region 3086",0.93439795021458
"region 3090",0.940295411601075
"region 3099",0.90948252316833
"region 3116",0.0864740945709555
"region 3118",0.938942171672882
"region 3129",0.961534756831251
"region 3136",0.938957453388289
"region 3137",0.973068546563663
"region 3152",0.228813311257893
"region 3180",0.876941123125019
"region 3188",0.972658415625672
"region 3197",0.857451933596927
"region 3202",0.825692956562176
"region 3206",0.749277759022008
"region 3209",0.93790969844898
"region 3215",0.146207471419148
"region 3223",0.907990326008473
"region 3224",0.163088008695067
"region 3234",0.811975458374489
"region 3247",0.681665933765567
"region 3264",0.247748020071969
"region 3270",0.566974281634675
"region 3277",0.0538461599346961
"region 3285",0.827626887505644
"region 3300",0.0348333717172599
"region 3320",0.571134126818995
"region 3321",0.598257370320377
"region 3335",0.833416265552464
"region 3354",0.277720342889525
"region 3368",0.406597270235339
"region 3384",0.93310022913547
"region 3389",0.884670436293124
"region 3402",0.918096112149684
"region 3405",0.803540196715709
"region 3412",0.96129942449608
"region 3413",0.353638178335827
"region 3415",0.969364176499594
"region 3431",0.254787765668854
"region 3439",0.979558580542988
"region 3446",0.893236759969155
"region 3457",0.723851521078573
"region 3459",0.961206664756983
"region 3467",0.603048023797283
"region 3479",0.51320589885417
"region 3493",0.839270823473471
"region 3498",0.852442659053578
"region 3499",0.767381989276506
"region 3503",0.563825423651101
"region 3507",0.827197475376758
"region 3511",0.667910601997186
"region 3513",0.147371063543011
"region 3521",0.724192319228743
"region 3525",0.334686706451494
"region 3528",0.294867089055645
"region 3536",0.405888869451975
"region 3543",0.30827281740768
"region 3556",0.935798110420477
"region 3559",0.918676551213802
"region 3569",0.641588555532767
"region 3570",0.398002221770273
"region 3580",0.621620700500798
"region 3589",0.0437768429125494
"region 3601",0.966492542007402
"region 3628",0.969984758897467
"region 3629",0.883089725247825
"region 3633",0.966573993114536
"region 3634",0.938159454636645
"region 3640",0.851125560609198
"region 3645",0.967183372276779
"region 3651",0.910674114497097
"region 3657",0.373723248521996
"region 3664",0.950485003576936
"region 3665",0.558009972367623
"region 3671",0.949863211165935
"region 3672",0.895062849431238
"region 3677",0.847959404081076
"region 3684",0.489663810371367
"region 3687",0.929920117792881
"region 3690",0.406035490761165
"region 3696",0.643433039358959
"region 3700",0.924805066407122
"region 3717",0.0458578458548371
"region 3720",0.618236617209012
"region 3727",0.33104098988968
"region 3731",0.847967202225547
"region 3746",0.971461306188996
"region 3767",0.691854055997259
"region 3777",0.843482480252334
"region 3792",0.871344354969283
"region 3820",0.950344561443796
"region 3838",0.395446124886396
"region 3853",0.901751171839771
"region 3860",0.95111517007289
"region 3861",0.865439866450248
"region 3887",0.84008725655606
"region 3902",0.181814827275027
"region 3907",0.721208922838785
"region 3911",0.930793149049149
"region 3917",0.872036362973567
"region 3934",0.921032579912794
"region 3961",0.791126490119989
"region 3970",0.852776524275446
"region 3973",0.347120536864917
"region 3990",0.955442201249995
"region 4000",0.606589184355019
"region 4013",0.482249163336215
"region 4015",0.865248109108995
"region 4027",0.781404849930307
"region 4034",0.532887166905115
"region 4092",0.897262829516101
"region 4115",0.709959212487052
"region 4126",0.901878263376935
"region 4136",0.934346088730203
"region 4137",0.751181446869436
"region 4143",0.816226239351818
"region 4145",0.622510817191122
"region 4150",0.898531117551681
"region 4152",0.87714236775544
"region 4153",0.932996033231555
"region 4159",0.891621916054202
"region 4175",0.412537926916303
"region 4176",0.406453903538413
"region 4177",0.371584360048096
"region 4178",0.892565142326134
"region 4186",0.678948796816972
"region 4192",0.921851454778171
"region 4200",0.887571620257393
"region 4211",0.507073975974297
"region 4221",0.819791597289972
"region 4224",0.637889243895066
"region 4234",0.87589483169753
"region 4241",0.560634470095635
"region 4256",0.812665396438489
"region 4258",0.00960303039145712
"region 4259",0.930176397576168
"region 4261",0.820350325797563
"region 4263",0.876000937698126
"region 4268",0.601736747384377
"region 4278",0.728743883798862
"region 4281",0.942593460246885
"region 4299",0.833359454835119
"region 4310",0.49178852813015
"region 4314",0.843575062057081
"region 4320",0.891150283700647
"region 4321",0.962933440663986
"region 4322",0.793058324002908
"region 4326",0.897472675631507
"region 4327",0.67212240006152
"region 4334",0.804968253143184
"region 4367",0.534593404423263
"region 4368",0.736174816168257
"region 4375",0.344188517434209
"region 4377",0.849126371734419
"region 4405",0.603170974050768
"region 4422",0.224502288385995
"region 4424",0.0715772991991795
"region 4429",0.933260778418215
"region 4454",0.840330886497535
"region 4458",0.958732744512285
"region 4465",0.191803165112537
"region 4470",0.494446275577289
"region 4481",0.972356785505882
"region 4483",0.971612668727657
"region 4499",0.932531482432676
"region 4510",0.909008661097732
"region 4520",0.806492372116848
"region 4534",0.910398256191657
"region 4547",0.86377309254955
"region 4556",0.677385022870505
"region 4557",0.967147214920137
"region 4579",0.0199233867032397
"region 4596",0.598039590713651
"region 4618",0.114477813325137
"region 4621",0.597209686898888
"region 4647",0.627613760999161
"region 4652",0.917677666413111
"region 4654",0.684993951605708
"region 4656",0.269461825426681
"region 4662",0.15971313247786
"region 4669",0.418409484155151
"region 4693",0.650579921855333
"region 4699",0.883245030626366
"region 4704",0.954465153965289
"region 4705",0.745078095456474
"region 4706",0.891669740459963
"region 4715",0.960872016185113
"region 4716",0.398747032483083
"region 4729",0.901274604150684
"region 4735",0.881891795334624
"region 4750",0.921894210052601
"region 4759",0.747336079453577
"region 4783",0.750562650502466
"region 4819",0.878484083342809
"region 4843",0.386248894179339
"region 4848",0.530686700124077
"region 4892",0.821541583054197
"region 4899",0.360708376469327
"region 4903",0.941131487476838
"region 4908",0.972353297615778
"region 4909",0.127534440130248
"region 4915",0.984411321326908
"region 4916",0.93219127812342
"region 4930",0.899008686649625
"region 4949",0.965790948140689
"region 4953",0.918801176776916
"region 4966",0.390674697764678
"region 4969",0.907399010938509
"region 4972",0.661194155635458
"region 4984",0.88587640612793
"region 4991",0.965630723598564
"region 4992",0.973106646680563
"region 4997",0.943819292364703
"region 5012",0.603572666866273
"region 5023",0.642756399864651
"region 5033",0.205546838820643
"region 5035",0.162924572243829
"region 5045",0.0358789011301481
"region 5050",0.179156558238813
"region 5052",0.20160498203947
"region 5057",0.210290114337055
"region 5058",0.0421635572376249
"region 5070",0.436871470949187
"region 5086",0.212986528599784
"region 5093",0.340676529009495
"region 5095",0.285177254345822
"region 5102",0.214171007673288
"region 5107",0.0913222547212923
"region 5118",0.512379086898848
"region 5125",0.542973182253489
"region 5134",0.213989030976919
"region 5149",0.129090151798427
"region 5153",0.0636315848300904
"region 5160",0.287600927794366
"region 5166",0.699176353364503
"region 5172",0.0732116753057471
"region 5173",0.0651573270233183
"region 5182",0.405104459561971
"region 5190",0.227779924439946
"region 5201",0.263851011017909
"region 5219",0.12985941986296
"region 5226",0.0650438620239188
"region 5240",0.261584595119669
"region 5245",0.270829403969652
"region 5246",0.404023403874906
"region 5259",0.0389598558420681
"region 5261",0.0307026222029629
"region 5264",0.0713109912911879
"region 5269",0.0818259461323645
"region 5275",0.166191590329222
"region 5276",0.199153889476382
"region 5288",0.44115164591023
"region 5291",0.0518794125605837
"region 5294",0.0979199307822329
"region 5299",0.0555900788687595
"region 5311",0.0539590902875905
"region 5317",0.248089767850365
"region 5323",0.118679382389758
"region 5327",0.0819020765136998
"region 5328",0.379870789157299
"region 5362",0.416515051622588
"region 5370",0.706679857320731
"region 5414",0.658970915006402
"region 5427",0.318574149593978
"region 5428",0.0694966504267859
"region 5452",0.144275880228097
"region 5458",0.0954271195182368
"region 5462",0.197696018898726
"region 5467",0.45797030063667
"region 5470",0.0619660622828155
"region 5473",0.120658129922359
"region 5475",0.481714443547319
"region 5482",0.145790353715152
"region 5483",0.19826142812784
"region 5486",0.44319749601865
"region 5507",0.78418979282239
"region 5528",0.259332137767345
"region 5529",0.123026892019963
"region 5539",0.097812644764188
"region 5542",0.212262034702098
"region 5557",0.339898116292036
"region 5562",0.820241156848022
"region 5606",0.48426698984332
"region 5607",0.129848554510333
"region 5615",0.0751378184799154
"region 5640",0.231999748368895
"region 5651",0.235068607986079
"region 5660",0.200426526067916
"region 5664",0.47622813914011
"region 5671",0.189693891254179
"region 5677",0.291682660457358
"region 5684",0.125952539698986
"region 5704",0.0880009954741467
"region 5714",0.0785780509616756
"region 5733",0.255032477015046
"region 5734",0.0420544442993054
"region 5747",0.78812856337774
"region 5755",0.10998103374075
"region 5774",0.441443602523782
"region 5786",0.0635744951283655
"region 5787",0.51770008352764
"region 5791",0.179667666758967
"region 5796",0.554849764121851
"region 5821",0.0881227289417466
"region 5823",0.264381638037398
"region 5828",0.0725380985817436
"region 5835",0.230587632218099
"region 5837",0.139722767797248
"region 5852",0.10222813310585
"region 5864",0.625104674714366
"region 5865",0.27692862538762
"region 5870",0.31224131997805
"region 5872",0.655096043869078
"region 5873",0.114038839349588
"region 5884",0.130926443587734
"region 5899",0.457327645865936
"region 5914",0.322593133149066
"region 5933",0.343080836492108
"region 5941",0.827162757037704
"region 5959",0.513805272674272
"region 5962",0.588021925235142
"region 5967",0.27442834871777
"region 5970",0.125018805045438
"region 5982",0.424535193960126
"region 5994",0.313800849726325
"region 5995",0.380049844286319
"region 6032",0.200769918410143
"region 6034",0.856323164547961
"region 6071",0.374731305989994
"region 6098",0.414979213557453
"region 6107",0.451869993096456
"region 6126",0.152762228219171
"region 6136",0.296465931104045
"region 6165",0.167268251922788
"region 6166",0.269648640757031
"region 6172",0.332762110087245
"region 6178",0.200099534431763
"region 6180",0.0564618964847736
"region 6187",0.0394757079407892
"region 6191",0.243753933276542
"region 6194",0.253487082858544
"region 6197",0.378241679426193
"region 6199",0.0781629117272927
"region 6200",0.348555307649582
"region 6201",0.29670643522832
"region 6223",0.0688564593567988
"region 6227",0.0325052722173651
"region 6235",0.366653519719475
"region 6251",0.225910402664554
"region 6290",0.170720313906788
"region 6291",0.264558716903077
"region 6295",0.133954728345429
"region 6296",0.402506841673067
"region 6298",0.0618559992559183
"region 6306",0.59836312489668
"region 6309",0.291592517452146
"region 6319",0.482632867414107
"region 6337",0.0922268536059053
"region 6338",0.171438510055847
"region 6344",0.157252193808885
"region 6349",0.203642024235165
"region 6383",0.138981950074997
"region 6384",0.22563066894262
"region 6401",0.461531145457997
"region 6407",0.41784012254823
"region 6409",0.251464853855033
"region 6417",0.228444227405846
"region 6424",0.205538534395953
"region 6425",0.275729505264276
"region 6426",0.758535373631426
"region 6432",0.164392415421563
"region 6469",0.204693158064216
"region 6492",0.0503176457948922
"region 6493",0.143907480259806
"region 6501",0.0991339488063616
"region 6503",0.733083312003269
"region 6505",0.324508967699238
"region 6508",0.192293529940696
"region 6527",0.458752723818657
"region 6537",0.290838282975584
"region 6540",0.195045591105816
"region 6543",0.0620164289689367
"region 6554",0.460285931784708
"region 6557",0.136552222914826
"region 6566",0.803451890510499
"region 6572",0.530272626074988
"region 6574",0.211356311937731
"region 6583",0.0876265375655338
"region 6600",0.12700911174365
"region 6601",0.32290195240125
"region 6605",0.0964130462930464
"region 6608",0.390108860904398
"region 6611",0.919527793845125
"region 6613",0.0943272312267567
"region 6615",0.928808468609748
"region 6631",0.0850058529490962
"region 6650",0.0181784370923695
"region 6665",0.517220885139237
"region 6676",0.26796004586824
"region 6689",0.111219840455464
"region 6701",0.0613516893405673
"region 6704",0.276040788766471
"region 6707",0.212691384149315
"region 6712",0.0791904605344406
"region 6714",0.733968392761308
"region 6720",0.691254113223694
"region 6721",0.241134982246112
"region 6724",0.158260472059877
"region 6728",0.044571942377655
"region 6747",0.228509581309973
"region 6751",0.118436517139826
"region 6757",0.190751997776791
"region 6758",0.668644863576042
"region 6781",0.0778954290617407
"region 6786",0.385422460293063
"region 6808",0.109979653688329
"region 6823",0.0576804958179917
"region 6845",0.23310381599978
"region 6866",0.382504038920465
"region 6867",0.0311205824741044
"region 6877",0.0439567721711714
"region 6889",0.347812985295831
"region 6895",0.21793329686933
"region 6904",0.22959415286625
"region 6906",0.562930817839124
"region 6910",0.897684408352654
"region 6911",0.131250002422599
"region 6923",0.0568313098425576
"region 6938",0.276741788195863
"region 6945",0.699916882260314
"region 6950",0.0972793811699664
"region 6968",0.693223169345023
"region 6969",0.330848533730407
"region 6981",0.221877393668602
"region 7013",0.157207505645963
"region 7020",0.0691003116445256
"region 7029",0.490894402382734
"region 7033",0.700545020250441
"region 7073",0.0939147666805383
"region 7088",0.296580429440424
"region 7103",0.255947695059429
"region 7115",0.0485643683455672
"region 7136",0.417796577640207
"region 7144",0.217765350286575
"region 7155",0.12988830381564
"region 7171",0.558469773760187
"region 7181",0.322300756997342
"region 7193",0.061703619806636
"region 7205",0.914415250710716
"region 7242",0.70747711643012
"region 7243",0.155169225688959
"region 7257",0.140910890515004
"region 7264",0.160104010667673
"region 7272",0.0398505120722925
"region 7276",0.0968590878558225
"region 7280",0.475669326378501
"region 7292",0.588224997355084
"region 7306",0.0948152938562051
"region 7312",0.0700199833083359
"region 7331",0.274249156601691
"region 7337",0.351577116121529
"region 7353",0.244205641773357
"region 7365",0.0363181110707679
"region 7366",0.123227938847518
"region 7369",0.664039132090066
"region 7384",0.260950944293979
"region 7391",0.173184763724809
"region 7399",0.369817609376244
"region 7414",0.0717026291549765
"region 7422",0.0392753100175542
"region 7429",0.37465009540464
"region 7430",0.349027857886948
"region 7436",0.108164437683405
"region 7447",0.0966413359227627
"region 7449",0.0765417859300268
"region 7456",0.26685398039857
"region 7474",0.344900446116742
"region 7480",0.0706646684041721
"region 7486",0.143285885011627
"region 7511",0.554611459635603
"region 7523",0.0541611133110174
"region 7525",0.140016004359252
"region 7557",0.263585201747654
"region 7572",0.333859372848876
"region 7587",0.161235276314482
"region 7596",0.164155069406514
"region 7600",0.0529168232452326
"region 7604",0.0641492947027796
"region 7624",0.220227208686785
"region 7635",0.126795286699308
"region 7657",0.0158354247398452
"region 7668",0.0250284721605239
"region 7672",0.562933235010064
"region 7676",0.246014814242721
"region 7693",0.133804168824391
"region 7700",0.307840748295834
"region 7720",0.259235738697157
"region 7741",0.825866451956292
"region 7747",0.646571599917491
"region 7776",0.67317488013344
"region 7778",0.0461164933194289
"region 7781",0.952683270157264
"region 7783",0.0923059243877322
"region 7790",0.302526863762937
"region 7792",0.056766943481253
"region 7800",0.116952761791524
"region 7824",0.15009346764495
"region 7835",0.20434624498089
"region 7836",0.175123524259415
"region 7837",0.0252375737053975
"region 7842",0.898782480059269
"region 7864",0.669098512019571
"region 7865",0.0719712603706284
"region 7889",0.692331904564034
"region 7914",0.685141140165025
"region 7915",0.212291397185198
"region 7937",0.805682344405776
"region 7952",0.484375062426953
"region 7957",0.0259403366591216
"region 7963",0.163580411319882
"region 7978",0.0846972717958205
"region 7987",0.138191864551465
"region 7988",0.208176488472426
"region 7991",0.320047901412265
"region 7993",0.878209274489356
"region 7995",0.158505564055295
"region 8013",0.0524416052304686
"region 8027",0.389179099528954
"region 8034",0.115027864209273
"region 8044",0.382418835787959
"region 8050",0.102318275503795
"region 8100",0.679027904187239
"region 8102",0.411444675614376
"region 8108",0.198241321197873
"region 8115",0.141003762332784
"region 8116",0.146683720545621
"region 8118",0.0685519248238312
"region 8119",0.205085724040997
"region 8122",0.334202678560887
"region 8139",0.42120292082954
"region 8153",0.106864111058555
"region 8166",0.452450651170267
"region 8167",0.144495530771629
"region 8181",0.486779463262289
"region 8207",0.306517973647297
"region 8209",0.265728283257132
"region 8210",0.597567777374471
"region 8215",0.874387606500656
"region 8227",0.107826369863207
"region 8240",0.0454931685317159
"region 8242",0.0524443795545518
"region 8248",0.662909866043962
"region 8266",0.0971991476566532
"region 8288",0.288026116356547
"region 8297",0.27838495924952
"region 8298",0.033836349368833
"region 8319",0.311041810689699
"region 8326",0.109923387136366
"region 8327",0.275731681331159
"region 8336",0.547747899102265
"region 8339",0.807580386207632
"region 8374",0.46638088415601
"region 8376",0.75002484743885
"region 8395",0.520768553560561
"region 8402",0.637273187621355
"region 8408",0.040418115079357
"region 8411",0.264505317431922
"region 8413",0.901636877319009
"region 8432",0.394779571033609
"region 8433",0.379261082894217
"region 8479",0.180197169435328
"region 8483",0.164887822258563
"region 8489",0.458995410296529
"region 8493",0.441027335618766
"region 8499",0.479721902835843
"region 8505",0.275192978767694
"region 8508",0.267818203982262
"region 8536",0.189125075291556
"region 8539",0.738284906228769
"region 8555",0.914717236463985
"region 8564",0.0465535747002028
"region 8578",0.11212884866046
"region 8594",0.223203162827389
"region 8606",0.0542282854942977
"region 8621",0.113978313805677
"region 8637",0.20714682849601
"region 8650",0.279311795234337
"region 8666",0.393406345800259
"region 8670",0.585455903061493
"region 8705",0.205516984826337
"region 8714",0.217036964139131
"region 8721",0.122691760117392
"region 8735",0.406968103875503
"region 8738",0.116621635959654
"region 8747",0.887172751569595
"region 8748",0.375880966703262
"region 8756",0.40613923216691
"region 8764",0.097281334393069
"region 8819",0.706385715499866
"region 8825",0.206190300712761
"region 8827",0.0389952037947685
"region 8850",0.225997087718854
"region 8852",0.169049915823717
"region 8863",0.575956913190669
"region 8876",0.662228741197152
"region 8887",0.840122016817854
"region 8888",0.537726233878838
"region 8894",0.186967510480656
"region 8902",0.188208611602968
"region 8905",0.123307897101477
"region 8912",0.0611869742711496
"region 8928",0.457699446101435
"region 8931",0.0787991261615218
"region 8933",0.587430876426066
"region 8935",0.335131343084076
"region 8965",0.157528325016392
"region 8973",0.236419622102927
"region 8988",0.405437540607883
"region 8997",0.0884282438934206
"region 9052",0.5349912691312
"region 9072",0.500447569222201
"region 9087",0.162967071814644
"region 9096",0.13603457853388
"region 9118",0.166332548421317
"region 9121",0.175957016540931
"region 9124",0.164403158736335
"region 9134",0.499703428707771
"region 9142",0.793211405558435
"region 9151",0.0161400465230857
"region 9163",0.697735276421645
"region 9179",0.245991508685149
"region 9186",0.845677898776135
"region 9189",0.230617748170053
"region 9197",0.0680919196881605
"region 9209",0.432877116934801
"region 9219",0.096083780303477
"region 9228",0.186326647757728
"region 9230",0.26762637056433
"region 9239",0.257642145188462
"region 9246",0.0879653858823797
"region 9269",0.185624125461812
"region 9277",0.185801112675506
"region 9282",0.0923593633400379
"region 9291",0.617483247923894
"region 9299",0.118763247194843
"region 9303",0.540456514155301
"region 9337",0.197537188272114
"region 9351",0.316162965851264
"region 9376",0.251583452798688
"region 9381",0.251305502330156
"region 9387",0.888198824140423
"region 9397",0.155868756923237
"region 9405",0.126758860107985
"region 9412",0.0491669513112427
"region 9413",0.353800287934586
"region 9420",0.585774219366462
"region 9431",0.0961964386884814
"region 9443",0.196469494583613
"region 9481",0.912024655190147
"region 9483",0.618954469675205
"region 9502",0.738184931789431
"region 9504",0.202035412312242
"region 9514",0.0459727046205717
"region 9541",0.150748781686797
"region 9547",0.379545910696802
"region 9553",0.471089450718243
"region 9554",0.405607834772124
"region 9564",0.416531331783797
"region 9570",0.111447573885641
"region 9582",0.273460163993667
"region 9584",0.140021494122326
"region 9585",0.118496720186447
"region 9595",0.294896151654353
"region 9613",0.18217461524897
"region 9617",0.39645773315205
"region 9627",0.785467646330091
"region 9631",0.0553508455836612
"region 9645",0.0830963140343272
"region 9649",0.0735811440161317
"region 9651",0.745352924629455
"region 9657",0.608262621748994
"region 9682",0.726216284015786
"region 9684",0.219849469431173
"region 9696",0.873815605702041
"region 9706",0.0887638617198105
"region 9724",0.293924692613404
"region 9743",0.141856835924374
"region 9744",0.317677195277342
"region 9746",0.67831002352399
"region 9755",0.0889245396429207
"region 9758",0.281694111526533
"region 9779",0.36814466535541
"region 9781",0.897069435481879
"region 9785",0.833242203085112
"region 9787",0.259443585140819
"region 9793",0.370644567377886
"region 9808",0.227003961981548
"region 9825",0.114496149023929
"region 9827",0.434257354853047
"region 9828",0.113478376797687
"region 9859",0.233102201566319
"region 9889",0.199815623131933
"region 9890",0.132194526954228
"region 9900",0.0270072879952168
"region 9923",0.576142808637943
"region 9925",0.194462250111024
"region 9932",0.298727639862711
"region 9957",0.827900461269552
"region 9959",0.0976232985499103
